Категория;Подкатегория;Группа;Подгруппа;Товар;Бренд;Максимальная продажная цена;Средняя цена продажи (руб)
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.12. Сыры сычужные полутвердые весовые;Сырный продукт МКС Ташлянский 50% 1кг фас Россия;МК Ставропольский; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр п/тв Качотта молодая Латона 45% 300г;Латона; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Сливочный Вкуснотеево 45% 200г Россия;Вкуснотеево; 349 ; 208 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Тильзитер Премиум Вкуснотеево 45% 200г Россия;Вкуснотеево; 349 ; 209 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Чеддер красный Cheese Gallery 50% 200г Россия;Cheese Gallery; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;Сыр Сармич Нежный 45% 450г цилиндр;Сармич; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;Сырный продукт МКС Ташлянский 50% 300г фас Россия;МК Ставропольский; 349 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.18. Сыры сычужные полутвердые нарезка шт;БЗМЖ Сыр ОКЕЙ Маасдам 400г нарезка Россия;О'кей; 349 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.12. Фета, брынза;135.13.12.12. Фета, брынза весовые;Сыр Брынза 1кг Россия;Не бренд; 349 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.13. Сулугуни, чечил, адыгейский;135.13.13.15. Сулугуни, чечил, адыгейский шт;БЗМЖ Сыр Адыгейский легкий Предгорье Кавказа 30% 300г Россия;Предгорье Кавказа; 349 ; 307 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.13. Сулугуни, чечил, адыгейский;135.13.13.15. Сулугуни, чечил, адыгейский шт;БЗМЖ Сыр Скаморца с тимьяном 46% 250г;Fratelli Spirini; 349 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.13. Сулугуни, чечил, адыгейский;135.13.13.15. Сулугуни, чечил, адыгейский шт;БЗМЖ Сыр Сулугуни  мдж 45% 250 г Россия;Янта; 349 ; 320 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.14. Творожные сыры;135.13.14.22. Маскарпоне (шт);БЗМЖ Сыр Сливочный (крем основа) 'Pretto', 50%, 450гр;Pretto; 349 ; 292 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.18. Камамбер (шт);БЗМЖ Сыр Zhukovka Камамбер 50% 150г Россия;WhiteCheese from Zhukovka; 349 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.18. Камамбер (шт);БЗМЖ Сыр Калория Камамбер винный 125г Россия;Калория; 349 ; 287 
